Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_asm_count,cp_vd,cp_rd,cp_vs2,cp_rs2,cp_vs1,cp_rs1,cp_imm_5bit,cp_vs3,cmp_vd_vs2,cmp_vd_vs1,cmp_vs1_vs2,cmp_vd_vs1_vs2,cp_vs2_edges,cp_vs1_edges,cr_vs2_vs1_edges,cr_vxrm_vs2_vs1_edges,cp_rs1_edges,cr_vs2_rs1_edges,cr_vxrm_vs2_rs1_edges,cr_vs2_imm_edges,cr_vxrm_vs2_imm_edges,cp_masking_edges,cr_vl_lmul,cr_vtype_agnostic,cp_vl_0,cp_csr_vxsat,std_vec,cp_custom,cp_custom_vindexCorners,cp_custom_shift_wi_all,cp_custom_vreductionw
vredmax.vs,VVSR,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,x,red,,,
vredmaxu.vs,VVSR,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,x,red,,,
vredmin.vs,VVSR,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,x,red,,,
vredminu.vs,VVSR,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,x,red,,,
vredand.vs,VVSR,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,x,red,,,
vredor.vs,VVSR,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,x,red,,,
vredxor.vs,VVSR,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,x,red,,,
vmand.mm,MMM,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,eew1,eew1,mm,,,,,,,,nomask,nomask,x,,x,maskwrite_unmasked,,,
vmnand.mm,MMM,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,eew1,eew1,mm,,,,,,,,nomask,nomask,x,,x,maskwrite_unmasked,,,
vmandn.mm,MMM,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,eew1,eew1,mm,,,,,,,,nomask,nomask,x,,x,maskwrite_unmasked,,,
vmxor.mm,MMM,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,eew1,eew1,mm,,,,,,,,nomask,nomask,x,,x,maskwrite_unmasked,,,
vmor.mm,MMM,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,eew1,eew1,mm,,,,,,,,nomask,nomask,x,,x,maskwrite_unmasked,,,
vmnor.mm,MMM,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,eew1,eew1,mm,,,,,,,,nomask,nomask,x,,x,maskwrite_unmasked,,,
vmorn.mm,MMM,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,eew1,eew1,mm,,,,,,,,nomask,nomask,x,,x,maskwrite_unmasked,,,
vmxnor.mm,MMM,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,eew1,eew1,mm,,,,,,,,nomask,nomask,x,,x,maskwrite_unmasked,,,
vcpop.m,XV,x,x,x,x,x,x,x,,x,x,,,,,,,,,,eew1,,,,,,,,,x,x,x,x,,x,gprwrite,,,
vfirst.m,XV,x,x,x,x,x,x,x,,x,x,,,,,,,,,,eew1,,,,,,,,,x,x,x,x,,x,gprwrite,,,
vmsbf.m,MM,x,x,x,x,x,x,x,x,,x,,,,,,,,,,eew1,,,,,,,,,x,x,x,x,,x,maskwrite_unmasked,,,
vmsif.m,MM,x,x,x,x,x,x,x,x,,x,,,,,,,,,,eew1,,,,,,,,,x,x,x,x,,x,maskwrite_unmasked,,,
vmsof.m,MM,x,x,x,x,x,x,x,x,,x,,,,,,,,,,eew1,,,,,,,,,x,x,x,x,,x,maskwrite_unmasked,,,
viota.m,VM,x,x,x,x,x,x,x,x,,x,,,,,,,,,,eew1,,,,,,,,,x,x,x,x,,,,,,
vid.v,VID,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,x,x,x,x,,,,,,
vmv.x.s,VMVXS,x,x,x,x,x,x,x,,x,x,,,,,,,,,,x,,,,,,,,,,nomask,nomask,x,,x,vmv_x_s,,,
vmv.s.x,VMVSX,x,x,x,x,x,x,x,x,,,,,x,,,,,,,,,,,x,,,,,,nomask,nomask,x,,x,vmv_s_x,,,
vslideup.vx,VVXP,x,x,x,x,x,x,x,x,,x,,,x,,,,,,,x,,,,x,x,,,,x,x,x,x,,,,,,
vslideup.vi,VVIP,x,x,x,x,x,x,x,x,,x,,,,u,,,,,,x,,,,,,,u,,x,x,x,x,,,,,,
vslidedown.vx,VVXP_DOWN,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,,x,vindexVX,,,
vslidedown.vi,VVIP_DOWN,x,x,x,x,x,x,x,x,,x,,,,u,,x,,,,x,,,,,,,u,,x,x,x,x,,,,,,
vslide1up.vx,VVXP,x,x,x,x,x,x,x,x,,x,,,x,,,,,,,x,,,,x,x,,,,x,x,x,x,,,,,,
vslide1down.vx,VVXP_DOWN,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,,,,,,
vrgather.vv,VVVP,x,x,x,x,x,x,x,x,,x,,x,,,,,,x,,x,x,x,,,,,,,x,x,x,x,,x,vindexVV,x,,
vrgather.vx,VVXP,x,x,x,x,x,x,x,x,,x,,,x,,,,,,,x,,,,x,x,,,,x,x,x,x,,x,vindexVX,,,
vrgather.vi,VVIP,x,x,x,x,x,x,x,x,,x,,,,u,,,,,,x,,,,,,,u,,x,x,x,x,,,,,,
vrgatherei16.vv,VVVP,x,x,,x,x,x,x,x,,x,,x,,,,,,sew16,,x,x,x,,,,,,,x,x,x,x,,x,vindexVV,x,,
vcompress.vm,VCOMPRESS,x,x,x,x,x,x,x,x,,x,,x,,,,,,,,x,x,x,,,,,,,,nomask,nomask,x,,,,,,
vmv1r.v,VMVR,x,x,x,x,x,x,x,x,,x,,,,,,x,,,,,,,,,,,,,,nomask,nomask,x,,,,,,
vmv2r.v,VMVR,x,x,x,x,x,x,x,emul2,,emul2,,,,,,emul2,,,,,,,,,,,,,,nomask,nomask,x,,,,,,
vmv4r.v,VMVR,x,x,x,x,x,x,x,emul4,,emul4,,,,,,emul4,,,,,,,,,,,,,,nomask,nomask,x,,,,,,
vmv8r.v,VMVR,x,x,x,x,x,x,x,emul8,,emul8,,,,,,emul8,,,,,,,,,,,,,,nomask,nomask,x,,,,,,
